probe,sectag,relatedu,firstnum,dis1num,dis2num,bignum,oddeven
HANDS, FEET, f,0:06,0,0:12,1111111,f
STORE, SHOP, f,0:06,0:02,0:10,2222222,j
CURTAIN, DRAPE, f,0:06,0:06,0:06,3333333,f
CAT, KITTEN, f,0:09,0,0:09,4444444,j
PONDER, THINK, f,0:09,0:02,0:07,5555555,f
BAG, SACK, j,0:09,0:06,0:03,6666666,j
STRAW, HAY, j,0:06,0,0:12,7777777,f
WEEDS, ROOTS, j,0:06,0:02,0:10,8888888,j
PROMISE, PLEDGE, f,0:06,0:06,0:06,9999999,f
PROFIT, LOSS, j,0:09,0,0:09,10101010101010,j
DIRTY, CLEAN, j,0:09,0:02,0:07,1111111,f
GRAPE, RAISIN, f,0:09,0:06,0:03,2222222,j
TOLL, TAX, f,0:06,0,0:12,3333333,f
MATURE, AGE, f,0:06,0:02,0:10,4444444,j
EXAMS, TESTS, f,0:06,0:06,0:06,5555555,f
COUGH, SNEEZE, j,0:09,0,0:09,6666666,j
KIND, MEAN, f,0:09,0:02,0:07,7777777,f
BASKET, HAMPER, f,0:09,0:06,0:03,8888888,j
CHAMBER, ROOM, f,0:06,0,0:12,9999999,f
PUSH, PULL, j,0:06,0:02,0:10,10101010101010,j
FLOOR, WALL, j,0:06,0:06,0:06,1111111,f
ANGRY, MAD, f,0:09,0,0:09,2222222,j
SALT, PEPPER, j,0:09,0:02,0:07,3333333,f
PRESS, SQUEEZE, f,0:09,0:06,0:03,4444444,j
ENEMIES, FRIENDS, j,0:06,0:02,0:10,5555555,f
DAMAGE, HARM, f,0:06,0:02,0:10,6666666,j
STAB, KNIFE, f,0:06,0:06,0:06,7777777,f
CUP, SAUCER, f,0:09,0,0:09,8888888,j
BABY, CHILD, f,0:09,0:02,0:07,9999999,f
SLOPPY, NEAT, j,0:09,0:06,0:03,10101010101010,j
BEER, WINE, j,0:06,0,0:12,1111111,f
BIG, LARGE, f,0:06,0:02,0:10,2222222,j
SHIP, BOAT, f,0:06,0:06,0:06,3333333,f
ANIMALS, ZOO, j,0:09,0,0:09,4444444j
TIME, CLOCK, j,0:09,0:02,0:07,5555555,f
HATCHET, AXE, f,0:09,0:06,0:03,6666666,j
EATING, FOOD, f,0:06,0,0:12,7777777,f
LECTURE, SPEECH, f,0:06,0:02,0:10,8888888,j
WAGON, CART, j,0:06,0:06,0:06,9999999,f
KING, QUEEN, f,0:09,0,0:09,10101010101010,j
JELLY, JAM, j,0:09,0:02,0:07,1111111,f
CHAIR, TABLE, f,0:09,0:06,0:03,2222222,j
WEAK, STRONG, f,0:06,0,0:12,3333333,f
SALAD, SOUP, f,0:06,0:02,0:10,4444444,j
WOMAN, MAN, f,0:06,0:06,0:06,5555555,f
LIPS, TEETH, f,0:09,0,0:09,6666666,j
SAND, BEACH, f,0:09,0:02,0:07,7777777,f
SCHOOL, ACADEMY, j,0:09,0:06,0:03,8888888,j
YOURS, MINE, j,0:06,0,0:12,9999999,f
